,negative,text
797,-1,コロナ騒ぎすぎで検索掛けておいて状況悪化で心境変化した人に今の気持ちどう？って問いかけるアカウントがあるらしい 
798,-1,なんか最近結核ちょいちょい見るな… 
799,-1,バイオ6よくわからない………勝手に進んでいく……マップ探索の楽しみがない……謎解きもない…… 
800,-1,勝ち戦の恋愛しかしてないと負け戦の攻略方法わからないのかな…だからキモいアプローチになっちゃうのかな…（あいのり） 
805,-1,アフリカの旅、衛生面メチャメチャ厳しそうだな 
811,-1,とおせんぼが1番好きだったなあ 
813,-1,テラハ見てたらもっと東京謳歌しておけばよかったと思った もう出かけらんねーなあさすがに 
814,-1,でも東京の中心地とかマジで人多すぎてカッペにはキツいんよな 行くだけで疲れる 
816,-1,うわ緊急事態宣言出す流れになってるからスーパー激混みしそう……… 
817,-1,紹興酒買い忘れたな 
819,-1,これは愛知可哀想すぎて 
821,-2,青森の友人、新コロ持ち込んだ人間の情報すぐ拡声器おばちゃんが広めて村八分になってるって言ってたな 
825,-1,街中にN95マスクつけてるマンおるのマジか…… 
835,-1,しねしねジュース小さくなってない？気のせい？ 
841,-1,あったまいて 
846,-1,ここまでお手本通りなのは最早わざとなのではとか思っちゃう 
849,-1,酒精綿無くなったらガチでヤバいっしょ 
850,-2,寝取り女さんていだぶ戻ってきてて垢でも売って中身変わってんのかなって思ってたけどどうやら変わっていないことを確認した まる 
851,-1,自分と関わりない人とほろわーとの会話表示されないようにしてほしい 
852,-1,2月くらいにぽん酢を吸い込んでからずっと喉の調子わるい 
856,-1,ホリエモンが峰先生、ヒカキンが都知事に新コロに関しての質問した動画を撮ってたのとても良かったけど、対してヒカルが質問した相手がひろゆきで、フランスの現状どうですかって訊いたのに結局医療的な話してて専門家じゃないのにそれ言っていいんすか…？みたいな内容だったし ヒカルェ…ってなった 
862,-1,テラハ配信停止か〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜〜 
863,-1,テラハは少しは恋愛のお手本になりうる スタジオの反応でこれをやっていいのかやっちゃダメなのか客観的に理解することが出来るため(社長アンチ並感) 
865,-1,今こういうとこ行くとアカンですよと言われている場所に色々な人の期待を背負っている人が特攻してる方が責められるべきなのでは 
866,-1,俺だけレベルアップな件の丸パクリみたいな漫画がでてきたな 
872,-1,"あれ本当にメチャクチャいい曲なのにあの音質といいTrp,Strあたりのピッチの悪さ、走り、遅れ、リードミスとか色々と勿体ないのよな "
875,-1,基本テンポってPercに合わせるもんだと思うんだけどピアノは重いし合流してきたClは走り気味だしお前ら合わせる気あるんか？と 
876,-1,寝れないまま早朝になったから語るね気に食わないポイント 
877,-1,細かく見ればテンポ合わないまくりだけど10年くらいためてた想いは大まかにこんな感じ 
878,-1,あとスコア見ないと分からないけど2:07くらいから何回かあるFlのGとFそんなブツっと切れる？違和感しかない 
879,-1,正直あの音の尻尾の処理がブツ切りというか抜けない加減は中学1年生疑惑はある 
880,-1,コロナ渦はまだ誤変換かなとか思うけど鍋は流石にネタだよねそうだと言ってくれって感じ 
881,-2,コーヒーフィルターをマスクにする方法みたいなの見たけどコーヒーフィルターが無くなると困るからそういうことするのやめて欲しい………………… 
888,-1,いやいやいやいやいやショックすぎる 嘘であって欲しい 
889,-1,えっ 
890,-1,若すぎる 
893,-1,フォロワーが1月頃に言ってた喉痛い訳じゃない(？)けどなんか痒いというか確実に炎症起きていて変な咳出るのこれかあってなってる 気管支炎とも違う感じ… 
895,-1,雷雨やば 土日天気悪いのはアホが出歩かなくていいと思うけど 
896,-1,たしかにうちの近くのスーパーも小麦粉のコーナーごっそり欠品してたな 
898,-1,流れてくるやつが苦いので出来るだけ点したくなかった 
899,-1,パチ屋って開店前に並ぶといいことあるの？ 
901,-2,"文句をつけていると決めつけるなと言う割に自分のとこでブツクサ文句言ってるし〇〇だと誤解しているんですかね〜くらいのことを「素人に対して知識がないことを揶揄・侮蔑している」と""決めつけて""んのお前の方じゃ〜ん 揶揄されてんのは他人に対しての態度がなってねえ所だよ "
902,-2,間違った知識で殴りかかってんだから素人はこれだからってバカにされんだよな 
903,-2,しかも信頼性のあるソース添えて答えてあげたことを素人向きじゃないことに関してまで文句垂れて面倒くさいなら返答すんなとか言ってんの流石に〇〇様って言われてしまうよ 言われた方はそんなの数え切れないくらい相手してんだろうけど 尊敬するわ 
905,-1,なんかみたシリーズです。 
912,-1,布マスクの不良品、少なからずあるんだろうけど騒いでいる人の中には使い捨てマスクを売りさばいておきたいがために便乗して布マスク叩いて普及を遅らせようとしている層も有りそうだなとか思っている 
917,-1,マスク回収マジ？？？？？？？ 
918,-1,正直買い物行くくらいでディスポ使いたくないんよなもう 
921,-1,まあ日本でも漂白剤飲んだやつおるしな…… 
922,-1,風やばない？ 
925,-1,対処療法という言葉に違和感1億%マン 
931,-1,開いてると行っちゃうから閉めろって害悪すぎるわ… 
932,-1,いきなり天気悪くなったな 雷なってる 
935,-1,すごくよく分かるんだけどアレは何か言ってるの見ると結局コイツ買春で人生棒に振っとるからなあになってしまうんだよな 
936,-1,わ！？定期便にしていたニトリルグローブが欠品になった ヤバいな… 
937,-1,ほうじ茶期間限定だったのか！？買うべきだったーーーー 
938,-1,ウワーーーーン 
942,-2,緊急速報うるさ 
943,-2,これかああああああ まじで迷惑〜〜〜〜〜〜〜〜 
944,-2,午前10時ならみんな起きてると思ったか？？？？？？ 
945,-2,緊急速報のアラートの通知が消せなくてウザすぎる 
946,-2,緊急速報はこの期に及んで外出自粛しないアホにだけ永遠に流しておいてほしい 
948,-1,家の近くで出店マスクやってる人がいて、買うか迷ってるフリして別の客との会話聞いてたらどうにも日本の方ではなさそうで察したよね… 
950,-1,こわい 
951,-1,ちょっと地震おおすぎんよ〜;; 
953,-1,雷やべー 
955,-2,いまこれになってて怒りが止まらない 引っ越したら失効っていつ誰が教えてくれたの 
956,-2,マイナンバー更新しても意味ね〜じゃ〜んw 
957,-2,署名用電子証明書等々、入籍の時は窓口で言われるがままに更新の手続きさせてくれたんだけどなんで引越しの時はしてくんねーの 失効すんなら更新手続き案内すべきだし案内しないなら失効させんな 
967,-1,テラハがキモそうでヤバい…………… 
970,-1,求人見てて『語学力:英語に抵抗がない方』ってどのレベルだよって感じ 
971,-1,貴殿(笑) 
972,-1,暑すぎて冷房つけちゃった 
